CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents
10/02/2017,30,1F,3300 WESTERWALD AV,HOMICIDE,,FIREARM,543,NORTHERN,Waverly,-76.605,39.32933,"(39.32933, -76.605)",,1
10/01/2017,2208,9S,4500 WAKEFIELD RD,SHOOTING,,FIREARM,641,NORTHWESTERN,West Forest Park,-76.69219,39.31901,"(39.31901, -76.69219)",Dwelling,1
10/01/2017,2208,9S,4500 WAKEFIELD RD,SHOOTING,,FIREARM,641,NORTHWESTERN,West Forest Park,-76.69219,39.31901,"(39.31901, -76.69219)",Dwelling,1
10/01/2017,1415,1F,3900 NORFOLK AV,HOMICIDE,,FIREARM,642,NORTHWESTERN,Concerned Citizens Of For,-76.68393,39.32448,"(39.32448, -76.68393)",Street,1
10/01/2017,237,1F,4900 CRENSHAW AV,HOMICIDE,,FIREARM,443,NORTHEASTERN,Frankford,-76.54666,39.32842,"(39.32842, -76.54666)",Street,1
09/30/2017,1217,9S,1500 E BIDDLE ST,SHOOTING,,FIREARM,343,EASTERN,Oliver,-76.59787,39.30419,"(39.30419, -76.59787)",Street,1
09/30/2017,629,1F,2900 HARVIEW AV,HOMICIDE,,FIREARM,424,NORTHEASTERN,North Harford Road,-76.54758,39.37001,"(39.37001, -76.54758)",Street,1
09/30/2017,629,9S,2900 HARVIEW AV,SHOOTING,,FIREARM,424,NORTHEASTERN,North Harford Road,-76.54758,39.37001,"(39.37001, -76.54758)",Street,1
09/29/2017,2032,1F,1100 MYRTLE AV,HOMICIDE,,FIREARM,123,CENTRAL,Upton,-76.63053,39.29729,"(39.29729, -76.63053)",Street,1
09/29/2017,1951,9S,1000 SLATER RD,SHOOTING,,FIREARM,922,SOUTHERN,Cherry Hill,-76.63093,39.24843,"(39.24843, -76.63093)",Street,1
09/29/2017,1804,9S,3900 ROKEBY RD,SHOOTING,,FIREARM,844,SOUTHWESTERN,Edmondson Village,-76.68218,39.29933,"(39.29933, -76.68218)",Dwelling,1
09/29/2017,1655,9S,600 N LONGWOOD ST,SHOOTING,,FIREARM,814,SOUTHWESTERN,Franklintown Road,-76.66674,39.29481,"(39.29481, -76.66674)",Street,1
09/27/2017,2135,1F,2300 W LAFAYETTE AV,HOMICIDE,,FIREARM,723,WESTERN,Bridgeview/Greenlawn,-76.65368,39.29855,"(39.29855, -76.65368)",Street,1
09/27/2017,1356,9S,1900 HARMAN AV,SHOOTING,,FIREARM,831,SOUTHWESTERN,Morrell Park,-76.65183,39.2666,"(39.2666, -76.65183)",Street,1
09/27/2017,1250,9S,200 S HILTON ST,SHOOTING,,FIREARM,842,SOUTHWESTERN,Saint Josephs,-76.6722,39.28128,"(39.28128, -76.6722)",Common Bus,1
09/27/2017,443,9S,4000 OLD YORK RD,SHOOTING,,FIREARM,542,NORTHERN,Pen Lucy,-76.60761,39.33812,"(39.33812, -76.60761)",Public Are,1
09/26/2017,2204,1F,3200 LYNDALE AV,HOMICIDE,,FIREARM,434,NORTHEASTERN,Four By Four,-76.57829,39.31648,"(39.31648, -76.57829)",Street,1
09/26/2017,2204,1F,3200 LYNDALE AV,HOMICIDE,,FIREARM,434,NORTHEASTERN,Four By Four,-76.57829,39.31648,"(39.31648, -76.57829)",Street,1
09/26/2017,2204,1F,3200 LYNDALE AV,HOMICIDE,,FIREARM,434,NORTHEASTERN,Four By Four,-76.57829,39.31648,"(39.31648, -76.57829)",Street,1
09/26/2017,2204,9S,3200 LYNDALE AV,SHOOTING,,FIREARM,434,NORTHEASTERN,Four By Four,-76.57829,39.31648,"(39.31648, -76.57829)",Street,1
09/26/2017,1852,9S,200 N CARROLLTON AV,SHOOTING,,FIREARM,712,WESTERN,Poppleton,-76.63692,39.29132,"(39.29132, -76.63692)",Street,1
09/26/2017,1852,9S,200 N CARROLLTON AV,SHOOTING,,FIREARM,712,WESTERN,Poppleton,-76.63692,39.29132,"(39.29132, -76.63692)",Street,1
09/26/2017,1852,9S,200 N CARROLLTON AV,SHOOTING,,FIREARM,712,WESTERN,Poppleton,-76.63692,39.29132,"(39.29132, -76.63692)",Street,1
09/26/2017,807,1F,700 NEWINGTON AV,HOMICIDE,,FIREARM,133,CENTRAL,Reservoir Hill,-76.62983,39.31368,"(39.31368, -76.62983)",Alley,1
09/26/2017,227,9S,1100 GREENMOUNT AV,SHOOTING,,FIREARM,311,EASTERN,Johnston Square,-76.6077,39.30312,"(39.30312, -76.6077)",Vacant Dwe,1
09/25/2017,2018,9S,1900 N LONGWOOD ST,SHOOTING,,FIREARM,811,SOUTHWESTERN,Walbrook,-76.66763,39.30977,"(39.30977, -76.66763)",Dwelling,1
09/25/2017,1954,1F,2400 BARCLAY ST,HOMICIDE,,FIREARM,341,EASTERN,Barclay,-76.61131,39.31669,"(39.31669, -76.61131)",Street,1
09/25/2017,1537,9S,2600 SPELMAN RD,SHOOTING,,FIREARM,922,SOUTHERN,Cherry Hill,-76.62923,39.24832,"(39.24832, -76.62923)",Street,1
09/25/2017,1438,1F,1100 E 20TH ST,HOMICIDE,,FIREARM,342,EASTERN,East Baltimore Midway,-76.60418,39.31279,"(39.31279, -76.60418)",Alley,1
09/25/2017,816,1F,6100 SHIPVIEW WY,HOMICIDE,,FIREARM,243,SOUTHEASTERN,O'Donnell Heights,-76.54254,39.27659,"(39.27659, -76.54254)",Alley,1
09/25/2017,254,9S,100 S CALVERTON RD,SHOOTING,,FIREARM,842,SOUTHWESTERN,Shipley Hill,-76.65223,39.28684,"(39.28684, -76.65223)",Street,1
09/24/2017,2120,9S,600 E 38TH ST,SHOOTING,,FIREARM,543,NORTHERN,Waverly,-76.60731,39.33557,"(39.33557, -76.60731)",Public Are,1
09/24/2017,2120,9S,600 E 38TH ST,SHOOTING,,FIREARM,543,NORTHERN,Waverly,-76.60731,39.33557,"(39.33557, -76.60731)",Public Are,1
09/24/2017,2000,9S,500 E PATAPSCO AV,SHOOTING,,FIREARM,913,SOUTHERN,Brooklyn,-76.60361,39.23674,"(39.23674, -76.60361)",Street,1
09/24/2017,2000,9S,500 E PATAPSCO AV,SHOOTING,,FIREARM,913,SOUTHERN,Brooklyn,-76.60361,39.23674,"(39.23674, -76.60361)",Street,1
09/24/2017,2000,9S,500 E PATAPSCO AV,SHOOTING,,FIREARM,913,SOUTHERN,Brooklyn,-76.60361,39.23674,"(39.23674, -76.60361)",Street,1
09/24/2017,2000,9S,500 E PATAPSCO AV,SHOOTING,,FIREARM,913,SOUTHERN,Brooklyn,-76.60361,39.23674,"(39.23674, -76.60361)",Street,1
09/24/2017,354,9S,700 N LONGWOOD ST,SHOOTING,,FIREARM,814,SOUTHWESTERN,Franklintown Road,-76.6668,39.29549,"(39.29549, -76.6668)",Street,1
